pH	SpConduct	DissOxy	RoadsPct	IndPct	UrbanPct	DevPct	WellClass	Aquifier	Depth	SafeYld	Distance	MTBE-Detect	MTBE	HouseDen	PopDen
6.04	1227.00	4.40	1.94	1.28	20.59	20.59	Public	Bedrock	86.868		58.88	Detect	0.84	103.03	58.23
9.03	414.60	0.41	3.19	3.66	40.65	57.37	Public	Bedrock	*		3066.65	Below Limit	0.20	230.57	81.59
5.43	165.30	2.53	2.46	0.00	19.63	19.63	Public	Unconsoli	*		1039.99	Detect	0.34	101.64	29.04
7.30	513.00	1.88	3.05	0.00	41.03	41.03	Public	Unconsoli	*		953.94	Detect	0.24	17.71	7.38
5.85	741.70	5.29	3.72	0.00	52.79	56.03	Public	Unconsoli	9.144		1746.12	Detect	0.33	217.39	84.15
6.60	411.50	7.99	1.88	0.84	33.55	33.55	Public	Unconsoli	15.240		596.88	Below Limit	0.20	92.24	33.89
6.56	329.50	5.12	1.37	0.84	16.57	16.57	Public	Unconsoli	13.411		812.91	Detect	0.83	72.69	29.47
7.69	400.80	1.48	2.52	17.61	23.11	24.88	Public	Bedrock	*		418.25	Below Limit	0.20	183.11	58.01
7.50	264.80	8.45	2.90	4.00	47.50	52.74	Public	Bedrock	60.960		242.05	Below Limit	0.20	130.87	45.36
7.22	369.50	4.04	1.39	0.00	11.44	55.10	Public	Unconsoli	15.240		2770.26	Below Limit	0.20	73.07	16.24
7.84	335.60	0.41	1.55	0.00	30.06	45.99	Public	Bedrock	106.680		1899.85	Below Limit	0.20	94.57	29.95
7.75	863.70	0.50	3.17	14.92	41.62	47.58	Public	Bedrock	45.720		1358.67	Below Limit	0.20	216.79	64.02
6.33	431.80	3.88	1.71	2.10	28.58	54.72	Public	Unconsoli	4.572		2181.43	Below Limit	0.20	84.25	30.76
